评价类型,消费者,rating,review_text,store_name,review_date,评价展示平台,商家回应,回应&盖楼内容,store_id
门店评价,小锦鲤,4.0,"以前是繁星小馆，现在好像加盟了江小肴，不够好在想吃的菜品都还在。
「香辣皮蛋肉丝」每次必点，很辣，但爱吃，中国有斯哈选手。
「腰肝合炒」上次来吃肝比腰多，这次腰比肝多，爱了爱了，更喜欢吃腰花。感觉没有之前辣，这个辣度刚刚好，感觉更好吃了。
「萍乡小炒肉」还不错
「牛蛙」牛蛙挺好吃的，辣度可以接受
「渣渣牛肉萝卜丝」不辣，牛肉好吃
「特色软糯鸡爪」鸡爪微辣，软糯，还行",江小肴·鲜辣江西菜（华漕店）,2025-05-17,点评,否,,
门店评价,简单随意,0.5,点的外卖，第一次江西菜踩雷无语了，这种水平也不知道怎么把店开起来的，「香辣皮蛋肉丝」齁咸，皮蛋不是溏心的，很硬巨难吃「腰肝合炒」盖子打开一股骚味直喷上头，猪肝很硬，猪（妖）味道很重「江西炒米粉」不正宗的江西米粉就不要打着江西炒米粉的名字，搬石头砸自己的脚,江小肴·鲜辣江西菜（华漕店）,2025-05-16,点评,是,"【2025-05-20 11:29:23】商家:非常抱歉没有给您留下良好的就餐体验！我们会根据大家的反馈和建议，以及实际情况进行调整和优化的，希望下次可以给您带来五星的体验！
",
团购评价,小一西,5.0,吃空盘了，两个人点了6个菜太好吃了,江小肴·鲜辣江西菜（华漕店）,2025-05-12,点评,否,,
团购评价,SH34264,0.5,服务极差！先来的后上菜，后来的先上菜，外卖优先，点3个菜上菜上了45分钟，红烧肉没几块，一半都是蒜头，空心菜不值几钱，只上了半盆，地上还有蟑螂在横爬,江小肴·鲜辣江西菜（华漕店）,2025-05-11,点评,是,"【2025-05-12 14:12:32】商家:非常抱歉没有给您留下良好的就餐体验！服务问题是我们非常重视的，已经安排全员重训！我们会根据大家的反馈和建议，以及实际情况进行调整和优化的，希望下次可以给您带来五星的体验！
",
门店评价,chill,0.5,"吃晚饭的时候不知道吃什么，
然后发现家附近有一家江西菜，
就想着进来吃口辣的，
但这吃完真的不得不吐槽
这个米粉是真的江西米粉吗？
还是我从小吃的米粉是假的？
这个在南昌不就是粉丝吗？
炒粉辣椒都没有，
出餐很慢啊，二十多分钟，先上了个红烧肉？？
基本上没有什么服务，
但至少菜品口味要好吧，
很烦碰到只吃一次的店。
事先声明江西菜是好恰的，
但这家店我着实没吃懂啊。",江小肴·鲜辣江西菜（华漕店）,2025-05-10,点评,是,"【2025-05-12 14:16:48】商家:非常抱歉没有给您留下良好的就餐体验！我们会根据大家的反馈和建议，以及实际情况进行调整和优化的，希望下次可以给您带来五星的体验！
",
门店评价,queenie0603,0.5,来这家吃了不低于5次了，觉得还是挺正宗江西口，今天特意带朋友来，结果每个菜口味都变了，江西口变成了本邦口，所有的菜都是糖跟酱油味道没有其他还一点不辣，太失望了,江小肴·鲜辣江西菜（华漕店）,2025-05-09,点评,是,"【2025-05-12 14:16:54】商家:非常抱歉没有给您留下良好的就餐体验！我们会根据大家的反馈和建议，以及实际情况进行调整和优化的，希望下次可以给您带来五星的体验！
",
门店评价,清晨小茉莉,5.0,"感觉好久没出来一样，感觉江西菜一下子还蛮多，比想象中好吃
和朋友来这边吃饭发现这样一家宝藏店很适合小聚晚上喝喝小酒，很有氛围，菜很丰富发现江西菜很有特色。
喜欢吃萍乡小炒肉和鱼豆腐，花生豆和米饭免费续，整天不错！",江小肴·鲜辣江西菜（华漕店）,2025-05-09,点评,否,"【2025-05-11 11:25:05】点小评:江西菜的鲜辣，就像老友的拥抱，温暖又带点小刺激！萍乡小炒肉，香辣皮蛋肉丝，每一口都是惊喜！
",
打卡评价,小淞,5.0,"第二次吃江西菜了，江西菜能火是有原因的，味道确实不错，之前吃的比较多的是湘菜，因为下饭，很好吃，吃了两次江西菜，也没有传说中的辣，但是很下饭
特别是萍江小炒肉，很不错，鸡爪子和这个汤也非常值得一试
最最关键的是，不仅好吃，还不贵。",江小肴·鲜辣江西菜（华漕店）,2025-05-07,点评,否,"【2025-05-12 12:50:15】点小评:江西菜的鲜辣果然名不虚传，萍江小炒肉和鸡爪子都让人回味无穷，性价比还这么高，下次一定再来尝尝油渣炒菜心！
",
打卡评价,美丽甜蜜嘀嗒蚕,5.0,比较辣，稍微有点不习惯，总体口味还不错,江小肴·鲜辣江西菜（华漕店）,2025-05-07,点评,否,,
团购评价,fishfox421,4.5,"住的地方有一家江小肴，因为离得比较近，着急赶飞机，就点了这家的套餐，说是二人餐，其实分量非常大，三个人吃得没吃完，包括两个肉菜，两个例汤，一份炒鸡蛋和一个炒蔬菜。可惜都没有光盘。
笋子炒肉比较咸，啤酒鸭的鸭肉大都是骨头，肉比较少，辣椒炒鸡蛋太辣了，忘记给他说要少少辣。炒素菜也比较咸。
例汤是排骨玉米，还可以，不过到最后已经吃不下了。
我不是江西人，不知江西本地小伙伴觉得是否地道，我是觉得口味偏咸偏辣。
生意蛮好，到饭点的时候全部坐满，附近的工作人员都爱来吃。价廉物美。",江小肴·鲜辣江西菜（华漕店）,2025-05-06,点评,否,,
团购评价,秦家庄园,4.5,小店菜味道好，可以调整，环境不错,江小肴·鲜辣江西菜（华漕店）,2025-05-05,点评,否,,
门店评价,匿名用户,5.0,时不时就要去一次的店，实在是因为菜的味道足够好，价格也很实惠，而且还能给停车券。他家虽然是炒菜，但是就算是工作日的中午，翻台率也是很高。点评上买好代金券，两个人吃刚刚好。他家几乎每一道都是招牌，味道很好。,江小肴·鲜辣江西菜（华漕店）,2025-05-03,点评,否,,
打卡评价,可儿6951,5.0,"口味好, 服务好餐厅的价格相对实惠，物美价廉。环境宽敞明亮。",江小肴·鲜辣江西菜（华漕店）,2025-04-30,点评,否,,
门店评价,点小评4765155931,5.0,特别推荐啊哈，他们家的辣菜特别好吃，服务也好，下次要再来。,江小肴·鲜辣江西菜（华漕店）,2025-04-30,点评,否,,
