评价类型,消费者,rating_raw,review_text,store_name,review_date,评价展示平台,商家回应,回应&盖楼内容,rating_label,senti_score,senti_label,key_topics,store_id
打卡评价,shenhaimoyu,5.0,"很有特色的一个小餐馆，食物很入味～会有回味；酒单很丰厚，总有一款适合你～
服务很体贴，一切都是刚刚好！",流杯酒肆·台州Bistro,2025-05-27,点评,是,"【2025-05-28 01:25:59】商家:亲爱的顾客，您好！感谢您对我们餐厅的高度评价！很高兴您喜欢我们的特色菜品和丰富的酒单，也感谢您对我们服务的肯定。我们将继续保持高品质，期待再次为您服务！
",好评,0.9999,正面,"[""酒单"", ""入味"", ""回味"", ""餐馆"", ""体贴""]",1539873707
打卡评价,匿名用户,5.0,"「家烧黄鱼配年糕」黄鱼新鲜 年糕好吃
「沙蒜海参豆面」豆面也好吃 性价比超高
酒单可选择很多
思维导图菜单很有意思
服务也超棒",流杯酒肆·台州Bistro,2025-05-27,点评,是,"【2025-05-27 22:07:17】商家:亲爱的顾客，非常感谢您的好评！😊 您的满意是我们最大的动力，听到您喜欢我们的「家烧黄鱼配年糕」和「沙蒜海参豆面」，我们特别开心！酒单丰富和有趣的思维导图菜单也是我们的特色之一，很高兴您喜欢。服务方面我们也会继续保持，期待您的再次光临！祝您生活愉快！🌟
",好评,0.9998,正面,"[""豆面"", ""年糕"", ""黄鱼"", ""好吃"", ""家烧""]",1539873707
团购评价,匿名用户,5.0,"餐厅味道很好，两人套餐基本全部干光，海肠捞饭味道非常好～调的酒也很好喝呢！
下次还会来",流杯酒肆·台州Bistro,2025-05-27,点评,是,"【2025-05-27 22:07:24】商家:非常感谢您的好评！😊 很高兴您喜欢我们的海肠捞饭和调酒，您的满意是我们最大的动力！期待您下次再来，我们会继续努力，为您提供更棒的美食体验！🍽️🍹
",好评,0.6696,正面,"[""味道"", ""捞饭"", ""干光"", ""海肠"", ""还会来""]",1539873707
团购评价,匿名用户,4.5,菜品分量和质量都一般般，价格也不便宜，适合晚上吃饱了去喝两杯聊聊天，如果只是去吃饭还是有点失望,流杯酒肆·台州Bistro,2025-05-27,点评,是,"【2025-05-27 15:25:10】商家:亲爱的顾客，感谢您的反馈！我们非常重视您的意见，菜品分量和质量我们会认真改进，价格方面也会考虑调整。希望下次您能体验到更好的服务和美食，期待您的再次光临！🍽️
",好评,0.0288,负面,"[""一般般"", ""聊聊天"", ""菜品"", ""两杯"", ""吃饱""]",1539873707
门店评价,张茂云,4.5,"[米饭]口味：「沙蒜海参豆面」「小土豆烧仔排」「本帮低温虾」「葱烤带鱼」「家烧黄鱼配年糕」
摆盘都很好看，又好吃，颜值又高！",流杯酒肆·台州Bistro,2025-05-27,点评,是,"【2025-05-27 15:25:16】商家:亲爱的顾客，您好！感谢您对我们餐厅的高度评价！很高兴您喜欢我们的沙蒜海参豆面、小土豆烧仔排等菜品，并对摆盘和味道感到满意。我们会继续保持高质量和精美的摆盘，期待再次为您服务！
",好评,0.0156,负面,"[""小土豆"", ""沙蒜"", ""烧仔排"", ""本帮"", ""家烧""]",1539873707
门店评价,Yao_5468,5.0,来上海出差，体验一下小酒馆的风格，强推辣子鸡翅、鹅肝吐司，不带酒精的饮料也超级推荐,流杯酒肆·台州Bistro,2025-05-26,点评,是,"【2025-05-27 15:25:24】商家:亲爱的顾客，感谢您选择我们的小酒馆，并分享您的美好体验！😊 辣子鸡翅和鹅肝吐司是我们的招牌菜，很高兴您喜欢！不带酒精的饮料也是我们的特色之一，希望您能继续享受我们的美食和氛围。期待您的再次光临，祝您生活愉快！🍻
",好评,0.6656,正面,"[""强推"", ""吐司"", ""辣子鸡"", ""小酒馆"", ""出差""]",1539873707
团购评价,熊猫Gina,5.0,菜品好吃，同时环境和服务都很不错～？适合下班跟朋友同事过来小聚～,流杯酒肆·台州Bistro,2025-05-26,点评,是,"【2025-05-27 15:25:31】商家:亲爱的顾客，您好！感谢您对我们餐厅的高度评价！很高兴您喜欢我们的菜品，并对环境和服务的认可。我们将继续保持高质量的服务，期待您和朋友们再次光临，享受美好的用餐时光！
",好评,0.9321,正面,"[""小聚"", ""菜品"", ""下班"", ""好吃"", ""同事""]",1539873707
门店评价,jimmy19870711,5.0, 冰镇饮品配迷迭香装饰，清新口气。朋友聚会必备，清爽解渴‍‍，再来一杯吧！,流杯酒肆·台州Bistro,2025-05-26,点评,是,"【2025-05-27 15:25:40】商家:感谢您的好评！😊 很高兴您喜欢我们的冰镇饮品和迷迭香装饰，清新口气确实是聚会必备啊！我们会继续努力，为您提供更好的服务。期待您和朋友们的再次光临，再来一杯吧！🍹
",好评,0.9936,正面,"[""迷迭香"", ""冰镇"", ""解渴"", ""饮品"", ""必备""]",1539873707
打卡评价,米ReDo,4.5,"[薄荷]环境：很幽静 是和朋友聊天
[米饭]口味：强烈推荐蛏子豆面
[服务铃]服务：服务很贴心",流杯酒肆·台州Bistro,2025-05-26,点评,是,"【2025-05-27 15:25:46】商家:亲爱的顾客，您好！感谢您对我们餐厅的高度评价！很高兴您喜欢我们的幽静环境和贴心服务，特别是对蛏子豆面的推荐。我们将继续保持高品质，期待再次为您服务！
",好评,1.0,正面,"[""服务"", ""蛏子"", ""豆面"", ""强烈推荐"", ""薄荷""]",1539873707
打卡评价,匿名用户,5.0,和姐妹约了聚餐，发现这家店，还能扭蛋抽酒，互动性很好 服务员态度也很好 推荐,流杯酒肆·台州Bistro,2025-05-26,点评,是,"【2025-05-26 18:50:02】商家:亲爱的顾客，您好！感谢您选择我们餐厅并与姐妹共度美好时光！很高兴您喜欢我们的互动活动和优质的服务。我们会继续保持，期待您再次光临，享受更多美味和乐趣！
",好评,0.585,中性,"[""扭蛋"", ""抽酒"", ""互动性"", ""聚餐"", ""服务员""]",1539873707
团购评价,626号顾客,5.0,"[米饭]口味：都很好吃 没一个踩雷的，强烈推荐蛏子豆面、鹅肝吐司、海肠捞饭、小土豆仔排！！！
[薄荷]环境：暖晃的灯光，特别温馨
[服务铃]服务：服务员都很nice 还会细心问你有无忌口，而且出餐很快
[糖果]性价比：很高！！",流杯酒肆·台州Bistro,2025-05-25,点评,是,"【2025-05-25 21:51:35】商家:亲爱的顾客，您好！感谢您对我们餐厅的高度评价！很高兴您喜欢我们的蛏子豆面、鹅肝吐司、海肠捞饭和小土豆仔排，也感谢您对我们环境和服务的认可。我们将继续保持高品质，期待再次为您服务！
",好评,1.0,正面,"[""小土豆"", ""吐司"", ""捞饭"", ""蛏子"", ""海肠""]",1539873707
打卡评价,不准生食咖啡豆,4.5,"位置在四楼，不认真看不会发现，我们走累了就上来吃饭了，鹅肝这道很好吃，鹅肝碎配脆吐司，海肠捞饭空盘了，真的很好吃！
低温虾口感鲜嫩，好像没熟一样的，很新奇的口感hh，但没有觉得腥。
其他的都差不多，没有什么踩雷的，ps：开胃酒很好喝！",流杯酒肆·台州Bistro,2025-05-25,点评,是,"【2025-05-25 21:51:45】商家:亲爱的顾客，感谢您选择我们的小店用餐！看到您这么喜欢我们的鹅肝和海肠捞饭，我们真的很开心😊。低温虾的口感确实很特别，很高兴您能喜欢。我们会继续努力，为您提供更好的美食体验。期待您的再次光临，祝您生活愉快！
",好评,0.988,正面,"[""口感"", ""好吃"", ""吐司"", ""空盘"", ""捞饭""]",1539873707
团购评价,鸡爪炝拌龙眼,5.0,口味好，环境安静，适合朋友小聚，第四次来啦！！！推荐！,流杯酒肆·台州Bistro,2025-05-25,点评,是,"【2025-05-25 20:41:31】商家:亲爱的顾客，您好！感谢您第四次光临我们餐厅，并对我们的口味和环境给予高度评价！您的推荐对我们意义重大。我们将继续保持高质量的服务和菜品，期待再次为您提供美好的用餐体验！
",好评,0.635,正面,"[""小聚"", ""口味"", ""第四次"", ""安静"", ""适合""]",1539873707
团购评价,yuanyang,4.5,"好像是第一次吃bistro，点了双人套餐，套餐的性价比挺高的，都是比较受欢迎口碑不错的菜。实际吃下来也都不错。「沙蒜海参豆面」好像台州菜都会有，之前吃过一次，但这次口味好很多。「本帮低温虾」虾肉很软糯，甜甜的，适合配个酒。「台州炒麻糍」因为喜欢吃年糕，所以也比较喜欢这个菜，很有滋味，麻糍又比年糕软许多。

环境很有氛围，服务员相当“专业”，给客人情绪价值拉满，选择困难症用扭蛋抽的酒，也蛮有意思的。",流杯酒肆·台州Bistro,2025-05-25,点评,是,"【2025-05-25 20:22:21】商家:亲爱的顾客，您好！感谢您对我们餐厅的高度评价！很高兴您喜欢我们的双人套餐，特别是沙蒜海参豆面和本帮低温虾。您的满意是我们最大的动力。我们将继续保持高品质，期待再次为您服务！
",好评,0.9974,正面,"[""年糕"", ""套餐"", ""台州"", ""蛮有意思"", ""不错""]",1539873707
打卡评价,123456789C,5.0,环境和口味都很好的一家店 就是量有点小～,流杯酒肆·台州Bistro,2025-05-25,点评,是,"【2025-05-25 19:38:54】商家:亲爱的顾客，您好！感谢您对我们餐厅环境和口味的肯定！我们会继续保持高质量的服务和菜品，并努力改进分量问题。期待您再次光临，享受更多美味！
",好评,0.8622,正面,"[""口味"", ""有点"", ""一家"", ""环境"", ""就是""]",1539873707
打卡评价,纽碧圈圈子,5.0,"[米饭]口味：很正宗的浙系菜
每道都不踩雷

[薄荷]环境：环境干净舒适很有氛围感哦

[服务铃]服务：服务很贴心，及时倒水上菜撤菜，态度也很积极",流杯酒肆·台州Bistro,2025-05-25,点评,是,"【2025-05-25 19:39:02】商家:亲爱的顾客，您好！感谢您对我们餐厅的高度评价！很高兴您喜欢我们的浙系菜，并对环境和贴心服务感到满意。我们会继续保持高品质，期待再次为您服务！
",好评,0.9997,正面,"[""服务"", ""浙系"", ""撤菜"", ""每道"", ""环境""]",1539873707
团购评价,Venus423,5.0,"又来吃啦！「沙蒜海参豆面」为了这道菜特意来的！很鲜美！低温虾也很好吃，很鲜糯，很快就吃完了哈哈哈哈
「小土豆烧仔排」仔排里的小土豆意外的好吃！
「芝士红薯烤年糕」份量好大哈哈哈哈外层烤的酥脆，红薯很香糯！
鹅肝还是很好吃！",流杯酒肆·台州Bistro,2025-05-25,点评,是,"【2025-05-25 19:39:12】商家:亲爱的顾客，您好！感谢您再次光临我们餐厅，并对我们的沙蒜海参豆面、低温虾、小土豆烧仔排和芝士红薯烤年糕给予如此高的评价。您的满意是我们最大的动力。我们将继续保持高品质，期待再次为您服务！
",好评,0.9998,正面,"[""小土豆"", ""好吃"", ""哈哈哈哈"", ""红薯"", ""芝士""]",1539873707
门店评价,lulumelon,5.0,点的每道菜都很喜欢,流杯酒肆·台州Bistro,2025-05-25,点评,是,"【2025-05-25 19:39:18】商家:亲爱的顾客，您好！感谢您对我们餐厅的高度评价！得知您点的每道菜都很喜欢，我们感到非常荣幸。我们将继续保持高质量的菜品，期待再次为您提供美好的用餐体验！
",好评,0.6452,正面,"[""每道菜"", ""喜欢""]",1539873707
门店评价,selinashen,4.0,"门头不是很明显，进门后电梯厅和电梯里的味道真的不太好，这个对食客比较不友好
服务员很热情
「本帮低温虾」「家烧黄鱼配年糕」「台州炒麻糍」「葱油山东小管」蛮推荐的
店里的酒蛮好喝的，还很有趣转盲盒
「海肠捞饭」有点咸，下次试试鹅肝饭",流杯酒肆·台州Bistro,2025-05-25,点评,是,"【2025-05-25 19:40:09】商家:亲爱的顾客，感谢您的反馈！我们非常重视您的意见，关于门头和电梯的味道问题，我们会尽快改进，希望下次能给您带来更好的体验。很高兴您喜欢我们的菜品和服务，尤其是「本帮低温虾」和「家烧黄鱼配年糕」，还有有趣的酒盲盒。对于「海肠捞饭」的咸度问题，我们会注意调整，期待您下次尝试鹅肝饭。祝您生活愉快，期待您的再次光临！🍽️
",好评,0.0003,负面,"[""电梯"", ""有点咸"", ""捞饭"", ""本帮"", ""家烧""]",1539873707
打卡评价,动物油拌桂圆,5.0,餐厅在90号四楼，乘电梯上来。餐厅环境很好，窗外绿树环绕，风景很好。菜品味道挺不错的，台州风味，点的几个菜都没踩雷。就是上菜有点慢，基本上是来一盘吃完一盘[笑哭]菜量适合胃口不大的女生来吃。推荐台州炒麻糍。酒点了一个苹果味的，还蛮好喝，很清爽，酒精味不重,流杯酒肆·台州Bistro,2025-05-25,点评,是,"【2025-05-25 19:40:22】商家:亲爱的顾客，您好！感谢您对我们餐厅的详细评价！很高兴您喜欢我们的环境和菜品，特别是台州炒麻糍和苹果味酒。我们会继续保持高质量，并努力改进上菜速度。期待您再次光临！
",好评,0.984,正面,"[""台州"", ""一盘"", ""餐厅"", ""90"", ""菜量""]",1539873707
打卡评价,0512jia,4.5,酒的品种很多，价格也不贵，想喝酒的冲！菜品味道不错，做得很有特色，但比较适合小胃口的朋友！,流杯酒肆·台州Bistro,2025-05-25,点评,是,"【2025-05-25 19:40:29】商家:亲爱的顾客，您好！感谢您对我们餐厅的高度评价！很高兴您喜欢我们的酒品种和菜品味道，您的肯定是我们最大的动力。我们会继续保持，期待您再次光临，享受更多美味！
",好评,0.9236,正面,"[""菜品"", ""不贵"", ""胃口"", ""喝酒"", ""味道""]",1539873707
打卡评价,匿名用户,5.0,菜很好吃，全都光盘了，下次还要来,流杯酒肆·台州Bistro,2025-05-25,点评,是,"【2025-05-25 19:40:40】商家:亲爱的顾客，您好！感谢您对我们餐厅的高度评价！得知您对我们的菜品感到满意，我们非常荣幸。您的肯定将激励我们继续努力。期待在不久的将来再次为您服务！
",好评,0.1011,负面,"[""光盘"", ""下次"", ""好吃"", ""全都"", ""还要""]",1539873707
门店评价,吴豆浆UMA,5.0,"主要来喝酒的，口味不错，食材很新鲜
酒的味道也很好，适合朋友小聚",流杯酒肆·台州Bistro,2025-05-25,点评,是,"【2025-05-25 19:45:19】商家:亲爱的顾客，您好！感谢您对我们餐厅的高度评价！很高兴您喜欢我们的菜品和酒，这对我们是极大的鼓励。我们将继续保持高品质，期待您和朋友再次光临，享受美好的小聚时光！
",好评,0.9628,正面,"[""食材"", ""小聚"", ""口味"", ""喝酒"", ""味道""]",1539873707
打卡评价,Zhang扬,5.0,环境很好，开窗见绿，菜品质量很有保证，会继续回踩噢，谢谢热情的服务员小哥哥,流杯酒肆·台州Bistro,2025-05-25,点评,是,"【2025-05-25 19:44:53】商家:亲爱的顾客，您好！感谢您对我们餐厅的高度评价！很高兴您喜欢我们的环境和菜品质量，也感谢您对我们服务员的热情服务表示认可。我们会继续保持高品质，期待再次为您服务！
",好评,0.9992,正面,"[""菜品"", ""开窗"", ""服务员"", ""谢谢"", ""热情""]",1539873707
团购评价,肉桂粉烫火腿肠,5.0,第二次打卡啦，很喜欢的味道！好吃,流杯酒肆·台州Bistro,2025-05-25,点评,是,"【2025-05-25 19:45:00】商家:亲爱的顾客，您好！感谢您再次光临我们餐厅并给予好评！得知您喜欢我们的味道，我们感到非常荣幸。我们将继续保持高质量的菜品，期待再次为您提供美好的用餐体验！
",好评,0.6238,正面,"[""打卡"", ""好吃"", ""味道"", ""第二次"", ""喜欢""]",1539873707
打卡评价,熊妹儿,5.0,公司之前聚餐来过一次，觉得味道很好，所以这次和朋友又约在了这里。整体环境很赞，和巨富长风格很搭，也很适合周末来休闲放松。店内有很多小海鲜可以选择，也有很多特色调酒，爱喝酒的和爱美食的都能够得到大大的满足。,流杯酒肆·台州Bistro,2025-05-25,点评,是,"【2025-05-25 18:10:20】商家:亲爱的顾客，您好！感谢您再次选择我们餐厅，并给予如此高的评价！很高兴您和朋友喜欢我们的环境和菜品，特别是小海鲜和特色调酒。我们会继续保持高品质，期待再次为您提供美好的用餐体验！
【2025-05-28 11:49:38】点小评:美食与美酒的完美邂逅，流杯酒肆的周末时光，让人沉醉！
",好评,1.0,正面,"[""调酒"", ""很赞"", ""店内"", ""巨富"", ""聚餐""]",1539873707
团购评价,吴艺_Whitley,5.0,很不错的一家店，有特色。餐厅的灯光和座位都很舒服也有景观位。,流杯酒肆·台州Bistro,2025-05-25,点评,是,"【2025-05-25 18:10:50】商家:亲爱的顾客，您好！感谢您对我们餐厅的高度评价！很高兴您喜欢我们的灯光、座位和景观位，您的满意是我们最大的动力。我们将继续保持，期待再次为您提供美好的用餐体验！
",好评,0.9842,正面,"[""餐厅"", ""景观"", ""座位"", ""舒服"", ""灯光""]",1539873707
买单评价,君戏盐,3.5,"在这种经济环境下，还需要预约的餐厅真不多了，这家就需要预约，你预约的我只能坐对视位置。东南亚装修风格，海派菜式，加上各类鸡尾酒主打，当下主流的小酒馆就这样形成了。酒馆里年轻人居多，3-5成群，俩俩结伴，靠窗位全部预约出去了。
「小土豆烧仔排」小土豆已经闷的特别烂了，一口绵软入喉，口感细腻，酱汁充盈，配上闷烂脱骨的肋排，值得招牌菜的地位。
「葱油东山小管」挺新鲜的，滑嫩Q弹，管中间的膏体不知道是什么，服务业也不知道。
「本帮低温虾」日式虾虾刺身吃法，配的是本帮酱汁。一般本帮直接生醉，更刺激。
「葱烤带鱼」浓油赤酱的本帮风味，但是店家处理的更细致。
餐厅地段也好，价格小贵，位置密集，不适合聊天。",流杯酒肆·台州Bistro,2025-05-25,点评,是,"【2025-05-25 18:21:40】商家:尊敬的顾客，您好！感谢您详细的反馈。你提到的建议我们都会改进，包括服务员菜品专业知识培训，优化预订单量，期待您下次过来，我们给你更好的体验！
",中评,0.006,负面,"[""预约"", ""小土豆"", ""本帮"", ""酱汁"", ""餐厅""]",1539873707
门店评价,大帝_3330,5.0,真的是发现的一家宝藏台州菜bistro，菜都是能听见后厨现炒的，味道很不错，家烧黄鱼年糕不愧是招牌，鱼很嫩新鲜，年糕糯唧唧超好吃！！！,流杯酒肆·台州Bistro,2025-05-25,点评,是,"【2025-05-25 14:34:08】商家:非常感谢您的好评！😊 听到您喜欢我们的家烧黄鱼年糕，我们真的很开心！我们会继续努力，把每一道菜都做到最好，让您每次来都有新的惊喜。期待您的再次光临，祝您生活愉快！🍽️
【2025-05-28 13:43:47】点小评:家烧黄鱼年糕，鲜嫩糯唧，每一口都是台州的回忆！
",好评,0.8596,正面,"[""年糕"", ""bistro"", ""厨现"", ""家烧"", ""黄鱼""]",1539873707
团购评价,coco,5.0,随便一找找到的宝藏店铺，很可口，开胃菜甜虾入口即化，鱿鱼管也很美味，带鱼酥脆甜香，儿子平时不吃带鱼的选手都爱的不行，排骨软糯的很，小土豆，闺女称它是小金球。还有豆面也是全家的爱，主食面略微有点油，下次要试试另外一个选择,流杯酒肆·台州Bistro,2025-05-25,点评,是,"【2025-05-25 14:17:37】商家:亲爱的顾客，您好！感谢您对我们餐厅的高度评价！很高兴您和家人在这里找到了宝藏店铺，并对甜虾、鱿鱼管、带鱼和排骨等菜品感到满意。我们会继续保持高质量菜品，期待您再次光临，尝试更多美味！
",好评,0.7251,正面,"[""带鱼"", ""小土豆"", ""开胃菜"", ""金球"", ""甜虾""]",1539873707
打卡评价,匿名用户,5.0,"[糖果]性价比： 还不错
[服务铃]服务： 很有耐心
[薄荷]环境： 很小资
[米饭]口味：味道很不错，小朋友们也很喜欢[OK]",流杯酒肆·台州Bistro,2025-05-25,点评,是,"【2025-05-25 14:13:47】商家:非常感谢您的好评！😊 您的满意是我们最大的动力，听到小朋友们也喜欢我们的菜品，我们特别开心！我们会继续努力，为您提供更好的服务和美食。期待您下次光临，祝您生活愉快！🍽️
",好评,1.0,正面,"[""不错"", ""OK"", ""服务"", ""薄荷"", ""小朋友""]",1539873707
门店评价,ctl123,5.0,"k[米饭]口味：口味不错特别好吃推荐葱烤带鱼
[薄荷]环境：环境也不错
[服务铃]服务：服务很好很贴心",流杯酒肆·台州Bistro,2025-05-24,点评,是,"【2025-05-25 12:45:47】商家:亲爱的顾客，您好！感谢您对我们餐厅的高度评价！很高兴您喜欢我们的葱烤带鱼，并对我们的环境和贴心服务感到满意。我们将继续保持高品质，期待再次为您服务！
",好评,1.0,正面,"[""口味"", ""服务"", ""不错"", ""环境"", ""薄荷""]",1539873707
打卡评价,Colin,5.0,"这家店的东西还可以。
[米饭]口味：很好吃
[服务铃]服务：很不错",流杯酒肆·台州Bistro,2025-05-24,点评,是,"【2025-05-25 12:45:55】商家:亲爱的顾客，您好！感谢您对我们餐厅的好评！很高兴您喜欢我们的菜品和服务。我们会继续保持高质量，期待再次为您提供美好的用餐体验！
",好评,0.8828,正面,"[""服务"", ""米饭"", ""口味"", ""好吃"", ""这家""]",1539873707
打卡评价,小鹿鹿爱蹦哒,5.0,已经来了好几次了，非常有感觉，服务员态度也很好，还会再来的,流杯酒肆·台州Bistro,2025-05-24,点评,是,"【2025-05-24 20:21:06】商家:感谢亲的好评！😊 您的肯定是我们最大的动力，我们会继续努力，为您提供更好的服务。期待您下次光临，祝您生活愉快！✨
",好评,0.3728,负面,"[""服务员"", ""几次"", ""还会"", ""态度"", ""感觉""]",1539873707
打卡评价,松仁油泼木耳,4.5,人均价格物超所值。口碑很好，味道很赞！。食材超级新鲜。,流杯酒肆·台州Bistro,2025-05-24,点评,是,"【2025-05-24 20:21:15】商家:非常感谢您的好评！😊 您的满意是我们最大的动力，听到您觉得我们的菜品物超所值、口碑好、味道赞，我们真的非常开心！食材新鲜也是我们一直追求的标准。期待您下次再来，祝您生活愉快！🍽️
",好评,0.9999,正面,"[""很赞"", ""食材"", ""物超所值"", ""口碑"", ""超级""]",1539873707
团购评价,cc小疯子,5.0,"周六很火爆 还要排队 但是今天排队不是很久 
[米饭]口味：菜品口味很好吃 小土豆子排很软烂
[服务铃]服务：很不错 很热情贴心「小土豆烧仔排」",流杯酒肆·台州Bistro,2025-05-24,点评,是,"【2025-05-24 20:21:24】商家:亲爱的顾客，您好！感谢您对我们餐厅的支持和好评！很高兴您喜欢我们的菜品，特别是小土豆烧仔排。您的肯定让我们备受鼓舞。我们将继续保持高质量的服务和菜品，期待您再次光临！
",好评,0.9693,正面,"[""小土豆"", ""口味"", ""排队"", ""子排"", ""软烂""]",1539873707
